Time, Begin, High, Low, End
2013-07-19,14909.76,14953.29,14413.28,14589.91
2013-07-18,14645.25,14827.73,14645.25,14808.50
2013-07-17,14491.80,14615.04,14460.56,14615.04
2013-07-16,14594.88,14638.80,14550.89,14599.12
2013-07-12,14475.17,14574.17,14417.30,14506.25
2013-07-11,14275.26,14496.67,14275.26,14472.58
2013-07-10,14464.82,14555.33,14287.69,14416.60
2013-07-09,14295.44,14472.90,14186.03,14472.90
2013-07-08,14491.07,14497.65,14109.34,14109.34
2013-07-05,14150.85,14309.97,14149.50,14309.97
2013-07-04,13970.27,14093.02,13962.30,14018.93
2013-07-03,14149.99,14164.77,13984.08,14055.56
2013-07-02,13969.15,14098.74,13898.54,14098.74
2013-07-01,13746.72,13862.71,13562.70,13852.50
2013-06-28,13383.92,13724.44,13354.70,13677.32
2013-06-27,12968.72,13213.55,12873.50,13213.55
2013-06-26,13152.75,13189.84,12826.51,12834.01
2013-06-25,13081.62,13234.89,12758.22,12969.34
2013-06-24,13417.54,13426.13,13026.23,13062.78
2013-06-21,12787.87,13330.35,12702.67,13230.13
2013-06-20,13101.85,13190.82,12966.41,13014.58
2013-06-19,13233.08,13296.62,13107.65,13245.22
2013-06-18,13015.15,13139.48,12919.03,13007.28
2013-06-17,12584.37,13033.12,12549.82,13033.12
2013-06-14,12668.90,12900.65,12629.31,12686.52
2013-06-13,13038.02,13050.11,12415.85,12445.38
2013-06-12,13087.66,13332.72,12994.08,13289.32
2013-06-11,13504.77,13584.31,13296.31,13317.62
2013-06-10,13141.85,13514.20,13141.37,13514.20
2013-06-07,12706.41,13106.20,12548.20,12877.53
2013-06-06,12925.29,13238.53,12862.02,12904.02
2013-06-05,13566.75,13711.42,13011.16,13014.87
2013-06-04,13186.60,13610.25,13060.94,13533.76
2013-06-03,13551.36,13562.87,13261.82,13261.82
2013-05-31,13804.23,13916.56,13681.39,13774.54
2013-05-30,14072.90,14098.16,13555.66,13589.03
2013-05-29,14492.55,14512.28,14243.49,14326.46
2013-05-28,13943.62,14399.78,13943.62,14311.98
2013-05-27,14373.82,14381.28,14027.42,14142.65
2013-05-24,14731.75,15007.50,13981.52,14612.45
2013-05-23,15739.98,15942.60,14483.98,14483.98
2013-05-22,15440.69,15706.63,15432.64,15627.26
2013-05-21,15264.79,15388.37,15264.42,15381.02
2013-05-20,15260.61,15381.74,15245.80,15360.81
2013-05-17,14926.42,15157.32,14902.30,15138.12
2013-05-16,15146.05,15155.72,14879.51,15037.24
2013-05-15,14962.34,15108.83,14956.38,15096.03
2013-05-14,14822.56,14839.79,14755.08,14758.42
2013-05-13,14759.50,14849.01,14727.70,14782.21
2013-05-10,14449.24,14636.81,14426.74,14607.54
2013-05-09,14366.95,14409.82,14191.48,14191.48
2013-05-08,14196.20,14421.38,14186.83,14285.69
2013-05-07,13960.04,14196.38,13951.81,14180.24
2013-05-02,13727.25,13780.48,13637.96,13694.04
2013-05-01,13837.72,13844.82,13782.00,13799.35
2013-04-30,13854.82,13897.06,13778.75,13860.86
2013-04-26,13978.98,13983.87,13852.20,13884.13
2013-04-25,13887.53,13974.26,13827.96,13926.08
2013-04-24,13687.28,13843.46,13686.78,13843.46
2013-04-23,13545.60,13585.35,13505.53,13529.65
2013-04-22,13537.17,13611.58,13529.44,13568.37
2013-04-19,13268.43,13338.75,13186.89,13316.48
2013-04-18,13272.22,13377.74,13200.85,13220.07
2013-04-17,13330.50,13397.50,13318.69,13382.89
2013-04-16,13023.91,13312.23,13004.46,13221.44
2013-04-15,13345.86,13408.29,13257.86,13275.66
2013-04-12,13568.25,13568.25,13402.86,13485.14
2013-04-11,13444.95,13549.16,13384.11,13549.16
2013-04-10,13177.31,13325.15,13177.31,13288.13
2013-04-09,13309.13,13331.39,13151.73,13192.35
2013-04-08,13082.61,13225.22,13080.29,13192.59
2013-04-05,12880.82,13225.62,12831.10,12833.64
2013-04-04,12188.22,12634.54,12075.97,12634.54
2013-04-03,12112.09,12362.20,12102.05,12362.20
2013-04-02,12051.57,12107.40,11805.78,12003.43
2013-04-01,12371.34,12384.83,12133.00,12135.02
2013-03-29,12405.53,12425.96,12319.75,12397.91
2013-03-28,12457.13,12462.86,12286.37,12335.96
2013-03-27,12476.58,12502.26,12442.39,12493.79
2013-03-26,12461.79,12540.12,12456.04,12471.62
2013-03-25,12507.61,12594.36,12480.42,12546.46
2013-03-22,12498.51,12522.05,12338.53,12338.53
2013-03-21,12592.00,12650.26,12586.06,12635.69
2013-03-19,12405.61,12491.16,12401.12,12468.23
2013-03-18,12365.44,12373.17,12220.63,12220.63
2013-03-15,12437.68,12560.95,12434.47,12560.95
2013-03-14,12332.16,12395.73,12248.65,12381.19
2013-03-13,12252.29,12339.45,12234.48,12239.66
2013-03-12,12433.60,12461.97,12314.81,12314.81
2013-03-11,12363.09,12403.95,12300.83,12349.05
2013-03-08,12066.50,12283.62,12065.09,12283.62
2013-03-07,12037.25,12069.60,11946.01,11968.08
2013-03-06,11811.06,11933.82,11803.09,11932.27
2013-03-05,11732.57,11779.42,11666.38,11683.45
2013-03-04,11695.45,11767.68,11613.59,11652.29
2013-03-01,11464.71,11648.63,11464.71,11606.38
2013-02-28,11396.73,11563.75,11392.56,11559.36
2013-02-27,11418.56,11419.62,11253.97,11253.97
2013-02-26,11449.66,11520.24,11374.83,11398.81
2013-02-25,11564.55,11662.52,11562.10,11662.52
2013-02-22,11238.75,11390.65,11175.67,11385.94
2013-02-21,11404.73,11442.11,11301.77,11309.13
2013-02-20,11485.65,11510.52,11440.10,11468.28
2013-02-19,11336.45,11412.86,11336.45,11372.34
2013-02-18,11318.22,11445.46,11308.83,11407.87
2013-02-15,11239.21,11261.58,11065.06,11173.83
2013-02-14,11273.40,11356.54,11243.49,11307.28
2013-02-13,11333.72,11365.27,11196.66,11251.41
2013-02-12,11346.72,11460.64,11343.44,11369.12
2013-02-08,11179.97,11299.71,11135.89,11153.16
2013-02-07,11406.32,11446.81,11295.62,11357.07
2013-02-06,11236.70,11498.42,11232.05,11463.75
2013-02-05,11105.24,11170.85,11046.92,11046.92
2013-02-04,11254.16,11285.49,11194.74,11260.35
2013-02-01,11193.72,11237.84,11142.26,11191.34
2013-01-31,11057.50,11145.38,11007.77,11138.66
2013-01-30,10913.97,11113.95,10905.64,11113.95
2013-01-29,10751.01,10937.63,10751.01,10866.72
2013-01-28,11002.86,11002.86,10824.31,10824.31
2013-01-25,10797.30,10926.65,10790.95,10926.65
2013-01-24,10441.11,10634.74,10441.11,10620.87
2013-01-23,10575.60,10663.09,10486.99,10486.99
2013-01-22,10765.10,10859.42,10615.20,10709.93
2013-01-21,10941.45,10941.45,10747.74,10747.74
2013-01-18,10791.97,10913.30,10787.12,10913.30
2013-01-17,10660.94,10694.85,10432.97,10609.64
2013-01-16,10806.41,10806.41,10591.30,10600.44
2013-01-15,10914.65,10952.31,10851.66,10879.08
2013-01-11,10786.14,10830.43,10748.06,10801.57
2013-01-10,10635.11,10686.12,10619.65,10652.64
