Days Online, Number of Views
1,5500.0
2,45000.0
3,27500.0
4,38000.0
5,38500.0
6,17000.0
7,37500.0
8,55000.0
9,63500.0
10,67000.0
11,29500.0
12,68000.0
13,71500.0
14,41000.0
15,40500.0
16,73000.0
17,83500.0
18,92000.0
19,59500.0
20,94000.0
21,71500.0
22,101000.0
23,95500.0
24,78000.0
25,68500.0
26,80000.0
27,71500.0
28,73000.0
29,79500.0
30,111000.0
31,120500.0
32,124000.0
33,120500.0
34,86000.0
35,112500.0
36,110000.0
37,92500.0
38,112000.0
39,100500.0
40,144000.0
41,138500.0
42,115000.0
43,124500.0
44,123000.0
45,124500.0
46,162000.0
47,163500.0
48,131000.0
49,137500.0
50,170000.0
51,163500.0
52,165000.0
53,177500.0
54,173000.0
55,166500.0
56,140000.0
57,143500.0
58,145000.0
59,184500.0
60,163000.0
61,177500.0
62,172000.0
63,194500.0
64,177000.0
65,165500.0
66,209000.0
67,190500.0
68,213000.0
69,219500.0
70,192000.0
71,202500.0
72,187000.0
73,183500.0
74,197000.0
75,194500.0
76,232000.0
77,199500.0
78,198000.0
79,204500.0
80,233000.0
81,217500.0
82,211000.0
83,238500.0
84,245000.0
85,225500.0
86,238000.0
87,264500.0
88,239000.0
89,260500.0
90,258000.0
91,275500.0
92,273000.0
93,239500.0
94,258000.0
95,263500.0
96,260000.0
97,243500.0
98,253000.0
99,278500.0
100,254000.0
